,precision,recall,f1-score,support
BARBUNYA,0.926923076923077,0.909433962264151,0.9180952380952381,265.0
BOMBAY,1.0,1.0,1.0,104.0
CALI,0.9194029850746268,0.9447852760736196,0.9319213313161876,326.0
DERMASON,0.9164345403899722,0.9280677009873061,0.9222144358794674,709.0
HOROZ,0.9666666666666667,0.9354838709677419,0.9508196721311475,372.0
SEKER,0.9439024390243902,0.9532019704433498,0.9485294117647058,406.0
SIRA,0.8831417624521073,0.8747628083491461,0.8789323164918971,527.0
accuracy,0.9254337393872277,0.9254337393872277,0.9254337393872277,0.9254337393872277
macro avg,0.9366387815044056,0.9351050841550449,0.9357874865255206,2709.0
weighted avg,0.9255637418647459,0.9254337393872277,0.9254177988716665,2709.0
